,prov_code,prov_name,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,party,pol_attitude,lat,lng,count_k,count_scaled
112,15,burdur,2010,0,0,258868,100,0,0,4.445373,1.48,1.966253,0,-0.09406157,3,AKP,-80,37.7167,30.2833,0,NULL
113,15,burdur,2011,1,1,250527,100,0,0,4.5386677,1.534,2.051675,0,-0.08801244,7,AKP,-80,37.7167,30.2833,0.003991586,15.2
114,15,burdur,2012,0,0,254341,100,0,0,4.519039,1.566,2.0523627,0,-0.08096811,10,AKP,-80,37.7167,30.2833,0,NULL
115,15,burdur,2013,2,2,257267,100,0,0,4.530688,1.618,2.0406814,1,-0.08215435,4,CHP,88.8,37.7167,30.2833,0.007774025,29.61
116,15,burdur,2014,2,2,256898,100,0,0,4.569504,1.642,2.0552905,1,-0.08802244,7,CHP,88.8,37.7167,30.2833,0.007785191,29.65
117,15,burdur,2015,0,0,258339,100,0,0,4.6101274,1.6,2.043826,0,-0.0892522,3,CHP,88.8,37.7167,30.2833,0,NULL
118,15,burdur,2016,1,1,261401,100,0,0,4.617891,1.634,2.0313618,0,-0.0908097,5,CHP,88.8,37.7167,30.2833,0.00382554,14.57
119,15,burdur,2017,2,2,264779,100,0,0,4.6216054,1.602,2.0129995,0,-0.098983794,2,CHP,106.28,37.7167,30.2833,0.007553469,28.77
120,16,bursa,2010,12,11,2605495,92.019,6.7922735,0.6931472,4.5811043,1.338,0.6240657,0,-0.08648828,1,AKP,-94.6,40.1833,29.0667,0.004605651,17.54
121,16,bursa,2011,5,4,2652126,92.019,6.7922735,0.6931472,4.7097282,1.404,0.62063414,0,-0.09179683,2,AKP,-94.6,40.1833,29.0667,0.00188528,7.18
