,age,date,district,city,perpetrator_en_new,excuses_cat
92,22.0,14/09/2017,Kağıthane, Istanbul,partner,Separation & Jealousy
93,30.0,14/09/2017,Kağıthane, Istanbul,relative,Other
94,35.0,14/09/2017,Meram, Konya,partner,Separation & Jealousy
95,51.0,11/9/2017,Demre, Antalya,boyfriend,Other
96,36.0,9/9/2017,Merkez, Muş,brother,Unknown
97,,9/9/2017,Merkez, Muş,partner,Unknown
98,,9/9/2017,Merkez, Muş,relative,Unknown
99,,9/9/2017,Merkez, Muş,relative,Unknown
100,42.0,9/9/2017,Şehitkâmil, Gaziantep,partner,Unknown
101,31.0,8/9/2017,Karşıyaka, İzmir,attacker,Other
102,5.0,7/9/2017,Merkez, Nevşehir,relative,Unknown
103,33.0,4/9/2017,Merkez, Şanlıurfa,relative,Unknown
104,46.0,4/9/2017,Terme, Samsun,relative,Separation & Jealousy
105,36.0,2/9/2017,Menemen, İzmir,ex-partner,Separation & Jealousy
106,30.0,2/9/2017,Bahçelievler, Istanbul,partner,Separation & Jealousy
107,36.0,1/9/2017,Kuyucak, Aydın,partner,Unknown
108,24.0,31/08/2017,Bandırma, Balıkesir,partner,Other
109,37.0,31/08/2017,Karatay, Konya,partner,Separation & Jealousy
110,,21/08/2017,Şehitkâmil, Gaziantep,partner,Other
111,45.0,19/08/2017,Meram, Konya,boyfriend,Woman Decision and Preferences
112,24.0,18/08/2017,Merkez, Trabzon,known man,Sexual expectation
113,70.0,17/08/2017,Esenyurt, Istanbul,relative,Other
114,37.0,17/08/2017,Demre, Antalya,partner,Other
115,26.0,16/08/2017,Kınık, İzmir,partner,Unknown
116,41.0,14/08/2017,Salihli, Manisa,known man,Unknown
117,25.0,11/8/2017,Gebze, Kocaeli,partner,Unknown
118,51.0,10/8/2017,Derince, Kocaeli,partner,Separation & Jealousy
119,21.0,31/07/2017,Patnos, Ağrı,partner,Unknown
120,17.0,30/07/2017,Erbaa, Tokat,boyfriend,Separation & Jealousy
121,40.0,30/07/2017,Viranşehir, Şanlıurfa,ex-partner,Other
122,20.0,30/07/2017,Viranşehir, Şanlıurfa,father,Other
123,27.0,27/07/2017,Cihanbeyli, Konya,partner,Unknown
124,70.0,21/07/2017,Boyabat, Sinop,partner,Other
125,47.0,20/07/2017,Çukurova, Adana,ex-partner,Other
126,33.0,13/07/2017,Tomarza, Kayseri,partner,Unknown
127,35.0,11/7/2017,Akhisar, Manisa,ex-partner,Masculinity&Honor
128,34.0,11/7/2017,Domaniç, Kütahya,boyfriend,Separation & Jealousy
129,63.0,9/7/2017,Seyhan, Adana,known man,Other
130,34.0,9/7/2017,Seyhan, Adana,relative,Other
131,24.0,9/7/2017,Merkez, Çorum,known man,Unknown
132,65.0,6/7/2017,Tarsus, Mersin,relative,Unknown
133,20.0,6/7/2017,Kaynarca, Sakarya,attacker,Sexual expectation
134,33.0,5/7/2017,Kula, Manisa,partner,Other
135,20.0,2/7/2017,Yavuzeli, Gaziantep,partner,Separation & Jealousy
136,33.0,1/7/2017,Kırıkhan, Hatay,partner,Woman Decision and Preferences
137,88.0,30/06/2017,Merkez, Elazığ,son,Unknown
138,46.0,29/06/2017,Kestel, Bursa,partner,Separation & Jealousy
139,24.0,26/06/2017,Akyurt, Ankara,ex-partner,Unknown
140,17.0,20/06/2017,İzmit, Kocaeli,father,Woman Decision and Preferences
141,26.0,18/06/2017,Seyhan, Adana,partner,Separation & Jealousy
142,29.0,17/06/2017,Merkez, Bilecik,partner,Separation & Jealousy
143,51.0,15/06/2017,Buca, İzmir,partner,Masculinity&Honor
144,26.0,13/06/2017,Yıldırım, Bursa,known man,Other
145,36.0,13/06/2017,Selçuklu, Konya,boyfriend,Unknown
146,16.0,4/6/2017,Şuhut, Afyonkarahisar,relative,Other
147,30.0,3/6/2017,Konyaaltı, Antalya,partner,Separation & Jealousy
148,31.0,3/6/2017,Konyaaltı, Antalya,relative,Other
149,50.0,3/6/2017,Merkez, Denizli,relative,Other
150,55.0,3/6/2017,Merkez, Denizli,partner,Separation & Jealousy
151,6.0,2/6/2017,Çınarcık, Yalova,attacker,Sexual expectation
152,45.0,2/6/2017,Karabağlar, İzmir,boyfriend,Masculinity&Honor
153,35.0,2/6/2017,Beyoğlu, Istanbul,partner,Masculinity&Honor
154,5.0,30/05/2017,Bornova, İzmir,father,Unknown
155,34.0,30/05/2017,Bornova, İzmir,partner,Unknown
156,1.0,28/05/2017,Şahinbey, Gaziantep,father,Other
157,21.0,28/05/2017,Antakya, Hatay,partner,Separation & Jealousy
158,6.0,28/05/2017,Şahinbey, Gaziantep,father,Other
159,28.0,28/05/2017,Şahinbey, Gaziantep,partner,Other
160,18.0,27/05/2017,Arnavutköy, Istanbul,brother,Masculinity&Honor
161,2.0,26/05/2017,Merkez, Edirne,relative,Other
162,,26/05/2017,Merkez, Edirne,relative,Fight
163,54.0,24/05/2017,Antakya, Hatay,son,Unknown
164,30.0,24/05/2017,Kayapınar, Diyarbakır,partner,Separation & Jealousy
165,37.0,23/05/2017,Osmangazi, Bursa,partner,Other
166,23.0,21/05/2017,İnegöl, Bursa,partner,Other
167,55.0,21/05/2017,Didim, Aydın,known man,Woman Decision and Preferences
168,44.0,18/05/2017,Döşemealtı, Antalya,boyfriend,Unknown
169,41.0,17/05/2017,Selçuklu, Konya,ex-partner,Children
170,59.0,17/05/2017,Selçuklu, Konya,relative,Other
171,32.0,16/05/2017,Dikili, İzmir,ex-partner,Other
172,35.0,16/05/2017,Çankaya, Ankara,partner,Separation & Jealousy
173,18.0,12/5/2017,Köyceğiz, Muğla,known man,Separation & Jealousy
174,24.0,10/5/2017,Melikgazi, Kayseri,boyfriend,Other
175,28.0,10/5/2017,Karabağlar, İzmir,relative,Masculinity&Honor
176,79.0,8/5/2017,Merkez, Kilis,relative,Unknown
177,46.0,8/5/2017,İlkadım, Samsun,partner,Separation & Jealousy
178,40.0,6/5/2017,Konak, İzmir,ex-partner,Other
179,,6/5/2017,Eyüp, Istanbul,boyfriend,Other
180,19.0,5/5/2017,Sultanbeyli, Istanbul,partner,Separation & Jealousy
181,16.0,5/5/2017,Osmangazi, Bursa,boyfriend,Unknown
182,41.0,3/5/2017,Seyhan, Adana,relative,Separation & Jealousy
183,31.0,3/5/2017,Tuzla, Istanbul,boyfriend,Unknown
184,66.0,3/5/2017,Seyhan, Adana,relative,Separation & Jealousy
185,68.0,3/5/2017,Seyhan, Adana,relative,Separation & Jealousy
186,18.0,30/04/2017,Merkez, Siirt,boyfriend,Masculinity&Honor
187,35.0,30/04/2017,Ceyhan, Adana,relative,Other
188,32.0,30/04/2017,Ceyhan, Adana,relative,Other
189,30.0,30/04/2017,Akdağmadeni, Yozgat,brother,Other
190,55.0,28/04/2017,Osmangazi, Bursa,son,Separation & Jealousy
191,39.0,27/04/2017,Sancaktepe, Istanbul,ex-partner,Unknown
192,60.0,25/04/2017,Suruç, Şanlıurfa,partner,Other
193,63.0,23/04/2017,Karacabey, Bursa,partner,Unknown
194,40.0,23/04/2017,Ceyhan, Adana,partner,Unknown
195,45.0,19/04/2017,Manavgat, Antalya,boyfriend,Masculinity&Honor
196,51.0,19/04/2017,Çaldıran, Van,partner,Other
197,27.0,16/04/2017,Ümraniye, Istanbul,partner,Separation & Jealousy
198,20.0,14/04/2017,Didim, Aydın,father,Separation & Jealousy
199,35.0,13/04/2017,Nallıhan, Ankara,brother,Masculinity&Honor
200,22.0,13/04/2017,Edremit, Balıkesir,partner,Unknown
201,21.0,11/4/2017,Yüreğir, Adana,relative,Masculinity&Honor
202,31.0,11/4/2017,Yüreğir, Adana,relative,Masculinity&Honor
203,55.0,10/4/2017,Beylikdüzü, Istanbul,ex-partner,Separation & Jealousy
204,35.0,8/4/2017,Sandıklı, Afyonkarahisar,relative,Other
205,26.0,3/4/2017,Çorlu, Tekirdağ,boyfriend,Separation & Jealousy
206,,31/03/2017,Merkez, Ağrı,son,Unknown
207,,31/03/2017,Taşköprü, Kastamonu,boyfriend,Unknown
