,age,date,district,city,perpetrator_en_new,excuses_cat
402,47.0,7/7/2016,Toroslar, Mersin,partner,Masculinity&Honor
403,49.0,5/7/2016,Kartepe, Kocaeli,known man,Other
404,24.0,4/7/2016,Kulu, Konya,boyfriend,Unknown
405,42.0,2/7/2016,Kepez, Antalya,partner,Unknown
406,57.0,27/06/2016,Kartepe, Kocaeli,partner,Masculinity&Honor
407,12.0,25/06/2016,Merkez, Yalova,relative,Sexual expectation
408,27.0,23/06/2016,Darıca, Kocaeli,partner,Separation & Jealousy
409,33.0,23/06/2016,Şehitkâmil, Gaziantep,relative,Other
410,30.0,23/06/2016,Fethiye, Muğla,partner,Woman Decision and Preferences
411,34.0,22/06/2016,Altındağ, Ankara,partner,Other
412,31.0,20/06/2016,Konyaaltı, Antalya,partner,Unknown
413,32.0,19/06/2016,Nizip, Gaziantep,partner,Separation & Jealousy
414,17.0,17/06/2016,Manisa,,boyfriend,Separation & Jealousy
415,29.0,16/06/2016,Ümraniye, Istanbul,known man,Unknown
416,60.0,15/06/2016,Ödemiş, İzmir,ex-partner,Other
417,35.0,15/06/2016,Kovancılar, Elazığ,partner,Unknown
418,21.0,15/06/2016,Esenyurt, Istanbul,partner,Separation & Jealousy
419,23.0,14/06/2016,Tuzluca, Iğdır,ex-partner,Unknown
420,68.0,13/06/2016,Konak, İzmir,attacker,Other
421,61.0,13/06/2016,Sancaktepe, Istanbul,partner,Other
422,30.0,12/6/2016,Marmaris, Muğla,ex-partner,Unknown
423,3.0,8/6/2016,Erdemli, Mersin,father,Unknown
424,30.0,8/6/2016,Erdemli, Mersin,partner,Unknown
425,26.0,7/6/2016,Hendek, Sakarya,partner,Separation & Jealousy
426,54.0,2/6/2016,Kepez, Antalya,partner,Unknown
427,22.0,31/05/2016,Başkale, Van,partner,Separation & Jealousy
428,26.0,31/05/2016,Sincan, Ankara,partner,Other
429,20.0,30/05/2016,Tepebaşı, Eskişehir,partner,Unknown
430,24.0,29/05/2016,Edremit, Balıkesir,ex-partner,Unknown
431,29.0,28/05/2016,Bodrum, Muğla,ex-partner,Masculinity&Honor
432,40.0,28/05/2016,Tuzla, Istanbul,known man,Other
433,41.0,27/05/2016,Kozan, Adana,boyfriend,Separation & Jealousy
434,,25/05/2016,Çarşamba, Samsun,known man,Unknown
435,35.0,21/05/2016,Yomra, Trabzon,partner,Masculinity&Honor
436,41.0,14/05/2016,Ortaca, Muğla,boyfriend,Unknown
437,30.0,11/5/2016,Merkez, Edirne,ex-partner,Other
438,20.0,11/5/2016,Ankara,,ex-partner,Unknown
439,67.0,11/5/2016,Tire, İzmir,relative,Unknown
440,33.0,8/5/2016,Merkez, Iğdır,partner,Woman Decision and Preferences
441,33.0,6/5/2016,Üsküdar, Istanbul,partner,Separation & Jealousy
442,43.0,4/5/2016,Eyüp, Istanbul,son,Masculinity&Honor
443,19.0,1/5/2016,Merkez, Iğdır,partner,Separation & Jealousy
444,36.0,29/04/2016,Başakşehir, Istanbul,boyfriend,Other
445,49.0,29/04/2016,Merkez, Karabük,partner,Separation & Jealousy
446,23.0,28/04/2016,Seferihisar, İzmir,partner,Separation & Jealousy
447,25.0,27/04/2016,Seyhan, Adana,brother,Masculinity&Honor
448,27.0,26/04/2016,Çubuk, Ankara,ex-partner,Unknown
449,27.0,25/04/2016,Muratpaşa, Antalya,partner,Other
450,22.0,19/04/2016,Sarayköy, Denizli,boyfriend,Separation & Jealousy
451,55.0,18/04/2016,Çiğli, İzmir,relative,Unknown
452,66.0,17/04/2016,Osmangazi, Bursa,partner,Unknown
453,25.0,14/04/2016,Şahinbey, Gaziantep,brother,Masculinity&Honor
454,75.0,14/04/2016,Karamürsel, Kocaeli,son,Other
455,30.0,13/04/2016,Merkez, Elazığ,partner,Separation & Jealousy
456,39.0,13/04/2016,Gölcük, Kocaeli,boyfriend,Unknown
457,33.0,11/4/2016,Buca, İzmir,partner,Unknown
458,36.0,11/4/2016,Şehitkâmil, Gaziantep,partner,Unknown
459,6.0,10/4/2016,Beyoğlu, Istanbul,relative,Sexual expectation
460,33.0,9/4/2016,Tarsus, Mersin,ex-partner,Unknown
461,43.0,4/4/2016,Melikgazi, Kayseri,partner,Separation & Jealousy
462,52.0,2/4/2016,Sancaktepe, Istanbul,brother,Fight
463,33.0,31/03/2016,Meram, Konya,boyfriend,Other
464,37.0,30/03/2016,Merkez, Şanlıurfa,boyfriend,Unknown
465,45.0,29/03/2016,Alaşehir, Manisa,partner,Other
466,41.0,29/03/2016,Beyoğlu, Istanbul,known man,Sexual expectation
467,31.0,28/03/2016,Palandöken, Erzurum,ex-partner,Separation & Jealousy
468,76.0,23/03/2016,Küçükçekmece, Istanbul,relative,Other
469,52.0,23/03/2016,Kuşadası, Aydın,partner,Other
470,35.0,20/03/2016,Çorlu, Tekirdağ,known man,Other
471,,18/03/2016,Çankaya, Ankara,ex-partner,Separation & Jealousy
472,,18/03/2016,Mamak, Ankara,ex-partner,Masculinity&Honor
473,17.0,17/03/2016,Karabağlar, İzmir,ex-partner,Masculinity&Honor
474,51.0,15/03/2016,Merkez, Trabzon,partner,Unknown
475,18.0,15/03/2016,Merkez, Trabzon,father,Unknown
476,21.0,12/3/2016,Merkez, Uşak,partner,Unknown
477,31.0,9/3/2016,Şahinbey, Gaziantep,brother,Other
478,18.0,8/3/2016,Yüksekova, Hakkâri,relative,Other
479,16.0,8/3/2016,Yüksekova, Hakkâri,relative,Other
480,31.0,8/3/2016,Siverek, Şanlıurfa,son,Unknown
481,47.0,8/3/2016,Buca, İzmir,boyfriend,Other
482,5.0,8/3/2016,Yüksekova, Hakkâri,father,Other
483,27.0,7/3/2016,Ümraniye, Istanbul,partner,Separation & Jealousy
484,55.0,7/3/2016,Karşıyaka, İzmir,partner,Separation & Jealousy
485,28.0,6/3/2016,Esenyurt, Istanbul,partner,Separation & Jealousy
486,39.0,6/3/2016,Merkez, Zonguldak,boyfriend,Separation & Jealousy
487,57.0,6/3/2016,Merkez, Zonguldak,known man,Other
488,31.0,6/3/2016,Bakırköy, Istanbul,known man,Unknown
489,20.0,5/3/2016,Kozan, Adana,brother,Woman Decision and Preferences
490,52.0,2/3/2016,Darıca, Kocaeli,partner,Unknown
491,66.0,1/3/2016,Gölcük, Kocaeli,partner,Other
492,47.0,1/3/2016,Gölcük, Kocaeli,partner,Separation & Jealousy
493,45.0,26/02/2016,Karşıyaka, İzmir,ex-partner,Separation & Jealousy
494,47.0,25/02/2016,Niksar, Tokat,known man,Other
495,23.0,24/02/2016,Merkez, Zonguldak,attacker,Unknown
496,23.0,23/02/2016,Amasra, Bartın,partner,Separation & Jealousy
497,24.0,22/02/2016,Büyükçekmece, Istanbul,partner,Separation & Jealousy
498,29.0,16/02/2016,Gümüşhacıköy, Amasya,known man,Separation & Jealousy
499,25.0,15/02/2016,Yüreğir, Adana,known man,Separation & Jealousy
500,31.0,15/02/2016,Bağlar, Diyarbakır,boyfriend,Separation & Jealousy
501,25.0,14/02/2016,Başakşehir, Istanbul,partner,Other
502,52.0,12/2/2016,Güney, Denizli,attacker,Unknown
503,16.0,11/2/2016,Merkez, Aksaray,boyfriend,Separation & Jealousy
504,33.0,9/2/2016,Merkez, Şanlıurfa,partner,Unknown
505,21.0,5/2/2016,Şahinbey, Gaziantep,partner,Separation & Jealousy
506,13.0,5/2/2016,Şehitkâmil, Gaziantep,relative,Other
507,20.0,5/2/2016,Etimesgut, Ankara,relative,Other
508,48.0,5/2/2016,Şehitkâmil, Gaziantep,relative,Other
509,35.0,5/2/2016,Esenler, Istanbul,partner,Fight
510,22.0,5/2/2016,Şehitkâmil, Gaziantep,relative,Other
511,40.0,5/2/2016,Etimesgut, Ankara,relative,Other
512,36.0,5/2/2016,Şahinbey, Gaziantep,relative,Other
513,48.0,4/2/2016,Aksu, Antalya,partner,Unknown
514,31.0,3/2/2016,Seyhan, Adana,brother,Masculinity&Honor
515,50.0,3/2/2016,Orhangazi, Bursa,partner,Masculinity&Honor
516,22.0,1/2/2016,Merkez, Kastamonu,partner,Unknown
517,34.0,30/01/2016,Kağıthane, Istanbul,partner,Separation & Jealousy
518,40.0,30/01/2016,Küçükçekmece, Istanbul,known man,Separation & Jealousy
519,22.0,28/01/2016,Sorgun, Yozgat,partner,Other
520,20.0,28/01/2016,Körfez, Kocaeli,partner,Separation & Jealousy
521,18.0,27/01/2016,Keçiören, Ankara,father,Unknown
522,45.0,27/01/2016,Keçiören, Ankara,partner,Unknown
523,16.0,24/01/2016,Merkez, Elazığ,relative,Fight
524,33.0,20/01/2016,Konyaaltı, Antalya,partner,Separation & Jealousy
525,53.0,20/01/2016,Merkez, Isparta,son,Other
526,15.0,20/01/2016,Burhaniye, Balıkesir,boyfriend,Masculinity&Honor
527,67.0,20/01/2016,Bafra, Samsun,son,Other
528,,20/01/2016,Merkez, Isparta,known man,Other
529,63.0,20/01/2016,Merkez, Batman,relative,Other
530,46.0,19/01/2016,Hopa, Artvin,partner,Other
531,84.0,19/01/2016,Selçuklu, Konya,attacker,Other
532,60.0,18/01/2016,İslahiye, Gaziantep,partner,Other
533,26.0,15/01/2016,Nazilli, Aydın,boyfriend,Separation & Jealousy
534,37.0,15/01/2016,Çilimli, Düzce,son,Woman Decision and Preferences
535,30.0,15/01/2016,Kandıra, Kocaeli,partner,Separation & Jealousy
536,31.0,14/01/2016,Torbalı, İzmir,ex-partner,Unknown
537,49.0,9/1/2016,Bayat, Çorum,son,Other
538,19.0,8/1/2016,Seyhan, Adana,father,Other
539,26.0,7/1/2016,Karacabey, Bursa,ex-partner,Masculinity&Honor
540,27.0,7/1/2016,Çaycuma, Zonguldak,boyfriend,Unknown
541,35.0,6/1/2016,Çayeli, Rize,known man,Sexual expectation
542,26.0,4/1/2016,Bornova, İzmir,known man,Other
543,23.0,3/1/2016,Merkez, Batman,boyfriend,Unknown
544,40.0,1/1/2016,Didim, Aydın,ex-partner,Children
545,28.0,1/1/2016,Kadirli, Osmaniye,father,Separation & Jealousy
546,30.0,28/12/2015,Merkez, Tokat,partner,Unknown
547,20.0,26/12/2015,Nizip, Gaziantep,attacker,Unknown
548,36.0,25/12/2015,Bafra, Samsun,partner,Separation & Jealousy
549,,23/12/2015,Zeytinburnu, Istanbul,known man,Woman Decision and Preferences
550,43.0,22/12/2015,Merkez, Trabzon,ex-partner,Woman Decision and Preferences
551,24.0,19/12/2015,Merkez, Kırklareli,ex-partner,Separation & Jealousy
552,23.0,14/12/2015,Yeşilhisar, Kayseri,boyfriend,Other
553,41.0,13/12/2015,Şahinbey, Gaziantep,brother,Other
554,42.0,13/12/2015,Şahinbey, Gaziantep,brother,Other
555,35.0,13/12/2015,Merkez, Erzincan,known man,Other
556,26.0,12/12/2015,Sarıkamış, Kars,partner,Separation & Jealousy
557,50.0,8/12/2015,Merkez, Bingöl,brother,Unknown
558,30.0,7/12/2015,Kepez, Antalya,boyfriend,Sexual expectation
559,20.0,6/12/2015,Merkez, Aydın,partner,Separation & Jealousy
560,3.0,6/12/2015,Merkez, Aydın,father,Unknown
561,,3/12/2015,Avcılar, Istanbul,attacker,Woman Decision and Preferences
562,23.0,3/12/2015,Karşıyaka, İzmir,partner,Separation & Jealousy
563,16.0,3/12/2015,Merkez, Kırıkkale,father,Masculinity&Honor
564,52.0,3/12/2015,Didim, Aydın,boyfriend,Unknown
565,21.0,1/12/2015,Yıldırım, Bursa,relative,Other
566,41.0,1/12/2015,Yıldırım, Bursa,boyfriend,Other
567,40.0,29/11/2015,Karatay, Konya,partner,Separation & Jealousy
568,50.0,28/11/2015,Fatih, Istanbul,attacker,Other
569,33.0,24/11/2015,Maltepe, Istanbul,known man,Woman Decision and Preferences
570,20.0,23/11/2015,Bağcılar, Istanbul,ex-partner,Masculinity&Honor
571,60.0,22/11/2015,Milas, Muğla,son,Unknown
572,40.0,20/11/2015,Esenyurt, Istanbul,boyfriend,Other
573,49.0,19/11/2015,İlkadım, Samsun,known man,Other
574,40.0,15/11/2015,Bağcılar, Istanbul,partner,Separation & Jealousy
575,30.0,15/11/2015,Şahinbey, Gaziantep,boyfriend,Other
576,43.0,13/11/2015,Sürmene, Trabzon,partner,Separation & Jealousy
577,38.0,12/11/2015,Akhisar, Manisa,ex-partner,Unknown
578,32.0,11/11/2015,Orhangazi, Bursa,boyfriend,Masculinity&Honor
579,25.0,11/11/2015,Darıca, Kocaeli,partner,Separation & Jealousy
580,37.0,9/11/2015,Gemlik, Bursa,partner,Other
581,10.0,9/11/2015,Gemlik, Bursa,father,Other
582,60.0,8/11/2015,Dalaman, Muğla,known man,Other
583,45.0,7/11/2015,Kemalpaşa, İzmir,brother,Other
584,26.0,4/11/2015,Merkez, Iğdır,partner,Unknown
585,46.0,3/11/2015,İskenderun, Hatay,partner,Separation & Jealousy
586,31.0,3/11/2015,Esenyurt, Istanbul,partner,Unknown
587,30.0,2/11/2015,Merkez, Kütahya,partner,Separation & Jealousy
588,83.0,2/11/2015,Gönen, Balıkesir,partner,Other
589,57.0,2/11/2015,Gönen, Balıkesir,partner,Separation & Jealousy
590,18.0,1/11/2015,Şahinbey, Gaziantep,boyfriend,Other
591,20.0,30/10/2015,Şahinbey, Gaziantep,boyfriend,Separation & Jealousy
592,34.0,30/10/2015,Bağcılar, Istanbul,boyfriend,Unknown
593,43.0,30/10/2015,Havsa, Edirne,known man,Separation & Jealousy
594,34.0,29/10/2015,Pendik, Istanbul,partner,Separation & Jealousy
595,48.0,28/10/2015,Torbalı, İzmir,partner,Other
596,19.0,27/10/2015,Merkez, Afyonkarahisar,partner,Other
597,57.0,26/10/2015,Toroslar, Mersin,ex-partner,Masculinity&Honor
598,27.0,25/10/2015,Çaycuma, Zonguldak,partner,Separation & Jealousy
599,,22/10/2015,Eyüp, Istanbul,partner,Other
600,72.0,21/10/2015,Bahşılı, Kırıkkale,partner,Other
601,31.0,21/10/2015,Şehitkâmil, Gaziantep,father-in-law,Sexual expectation
602,51.0,21/10/2015,Şehitkâmil, Gaziantep,partner,Other
603,29.0,20/10/2015,Merkez, Ardahan,boyfriend,Woman Decision and Preferences
604,22.0,20/10/2015,Merkez, Ardahan,known man,Other
605,51.0,16/10/2015,Odunpazarı, Eskişehir,partner,Masculinity&Honor
606,21.0,15/10/2015,Gerede, Bolu,known man,Separation & Jealousy
607,51.0,9/10/2015,Yağlıdere, Giresun,partner,Other
608,45.0,8/10/2015,Sultanhisar, Aydın,partner,Other
609,60.0,6/10/2015,Şehitkâmil, Gaziantep,brother,Other
610,33.0,4/10/2015,Gölcük, Kocaeli,known man,Separation & Jealousy
611,18.0,3/10/2015,Karamürsel, Kocaeli,father,Masculinity&Honor
612,32.0,29/09/2015,Muratpaşa, Antalya,partner,Separation & Jealousy
613,23.0,28/09/2015,Merkez, Trabzon,brother,Woman Decision and Preferences
614,45.0,25/09/2015,Orhangazi, Bursa,partner,Fight
615,20.0,24/09/2015,Esenler, Istanbul,boyfriend,Other
616,24.0,23/09/2015,Turgutlu, Manisa,relative,Other
617,22.0,19/09/2015,Hassa, Hatay,ex-partner,Other
618,47.0,19/09/2015,Adapazarı, Sakarya,partner,Other
619,53.0,19/09/2015,Kırkağaç, Manisa,partner,Other
620,28.0,19/09/2015,Fatih, Istanbul,boyfriend,Masculinity&Honor
621,14.0,16/09/2015,Seyhan, Adana,relative,Other
622,44.0,14/09/2015,Merkez, Çanakkale,partner,Separation & Jealousy
623,40.0,14/09/2015,Çekmeköy, Istanbul,known man,Other
624,25.0,14/09/2015,Ceyhan, Adana,brother,Masculinity&Honor
625,37.0,14/09/2015,Çekmeköy, Istanbul,ex-partner,Separation & Jealousy
626,32.0,11/9/2015,Osmangazi, Bursa,partner,Masculinity&Honor
627,51.0,8/9/2015,Yığılca, Düzce,relative,Fight
628,52.0,8/9/2015,Yığılca, Düzce,relative,Fight
629,31.0,8/9/2015,Tire, İzmir,ex-partner,Separation & Jealousy
630,39.0,7/9/2015,Çumra, Konya,son,Fight
631,33.0,7/9/2015,Finike, Antalya,ex-partner,Separation & Jealousy
632,37.0,6/9/2015,Gemerek, Sivas,ex-partner,Separation & Jealousy
633,17.0,6/9/2015,Tekkeköy, Samsun,partner,Other
634,,4/9/2015,Merkez, Trabzon,known man,Woman Decision and Preferences
635,24.0,4/9/2015,Akdeniz, Mersin,partner,Other
636,32.0,3/9/2015,Sur, Diyarbakır,partner,Separation & Jealousy
637,18.0,1/9/2015,Mamak, Ankara,partner,Separation & Jealousy
638,38.0,29/08/2015,Merkez, Manisa,boyfriend,Other
639,32.0,28/08/2015,Merkez, Aydın,relative,Sexual expectation
640,35.0,27/08/2015,Görele, Giresun,partner,Unknown
641,43.0,27/08/2015,Konyaaltı, Antalya,known man,Fight
642,23.0,26/08/2015,Tarsus, Mersin,boyfriend,Unknown
643,77.0,19/08/2015,Mamak, Ankara,son,Unknown
644,52.0,19/08/2015,Mezitli, Mersin,known man,Other
645,42.0,17/08/2015,Bodrum, Muğla,partner,Other
646,65.0,16/08/2015,Kiraz, İzmir,partner,Other
647,18.0,16/08/2015,Keçiören, Ankara,partner,Separation & Jealousy
648,36.0,16/08/2015,Gebze, Kocaeli,known man,Sexual expectation
649,18.0,14/08/2015,Aziziye, Erzurum,boyfriend,Separation & Jealousy
650,29.0,13/08/2015,Odunpazarı, Eskişehir,partner,Separation & Jealousy
651,64.0,12/8/2015,Atakum, Samsun,partner,Other
652,45.0,12/8/2015,Seyhan, Adana,known man,Other
653,35.0,11/8/2015,Ümraniye, Istanbul,boyfriend,Woman Decision and Preferences
654,,10/8/2015,Kayapınar, Diyarbakır,partner,Separation & Jealousy
655,32.0,9/8/2015,Merkez, Sivas,partner,Unknown
656,25.0,8/8/2015,Merkez, Balıkesir,partner,Other
657,30.0,8/8/2015,Kayapınar, Diyarbakır,ex-partner,Other
658,,7/8/2015,Zeytinburnu, Istanbul,known man,Unknown
659,35.0,5/8/2015,Kaman, Kırşehir,father-in-law,Other
660,,31/07/2015,Sur, Diyarbakır,brother,Masculinity&Honor
661,21.0,31/07/2015,Merkez, Giresun,known man,Woman Decision and Preferences
662,48.0,31/07/2015,Merkez, Giresun,known man,Woman Decision and Preferences
663,42.0,30/07/2015,Keçiören, Ankara,partner,Other
664,17.0,28/07/2015,Konak, İzmir,father,Woman Decision and Preferences
665,67.0,24/07/2015,Anamur, Mersin,partner,Other
666,20.0,22/07/2015,Bayraklı, İzmir,partner,Other
667,26.0,17/07/2015,Merkez, Afyonkarahisar,partner,Unknown
668,15.0,15/07/2015,Alaşehir, Manisa,father,Unknown
669,24.0,14/07/2015,Ödemiş, İzmir,boyfriend,Other
670,,14/07/2015,Merkez, Tekirdağ,boyfriend,Other
671,32.0,13/07/2015,Ortaköy, Aksaray,relative,Other
672,60.0,13/07/2015,Ortaköy, Aksaray,partner,Other
673,31.0,13/07/2015,Ortaköy, Aksaray,partner,Separation & Jealousy
674,60.0,10/7/2015,Güngören, Istanbul,partner,Unknown
675,17.0,8/7/2015,Kandıra, Kocaeli,boyfriend,Unknown
676,36.0,6/7/2015,Merkez, Bilecik,partner,Separation & Jealousy
677,73.0,3/7/2015,Meram, Konya,son,Other
678,38.0,3/7/2015,Bafra, Samsun,partner,Other
679,32.0,2/7/2015,Niksar, Tokat,partner,Unknown
680,41.0,28/06/2015,Besni, Adıyaman,ex-partner,Other
681,20.0,27/06/2015,Ermenek, Karaman,ex-partner,Children
682,43.0,27/06/2015,Ermenek, Karaman,relative,Other
683,12.0,27/06/2015,Ermenek, Karaman,relative,Other
684,13.0,27/06/2015,Ermenek, Karaman,relative,Other
685,41.0,25/06/2015,Seyhan, Adana,partner,Other
686,35.0,20/06/2015,Çankaya, Ankara,boyfriend,Masculinity&Honor
687,18.0,18/06/2015,Ortaca, Muğla,known man,Sexual expectation
688,25.0,18/06/2015,Nizip, Gaziantep,partner,Other
689,42.0,18/06/2015,Yıldırım, Bursa,boyfriend,Other
690,75.0,18/06/2015,Yıldırım, Bursa,relative,Other
691,39.0,18/06/2015,Mamak, Ankara,partner,Other
692,6.0,16/06/2015,Konyaaltı, Antalya,relative,Unknown
693,42.0,16/06/2015,Konyaaltı, Antalya,brother,Unknown
694,24.0,15/06/2015,Kargı, Çorum,partner,Masculinity&Honor
695,19.0,13/06/2015,Merkez, Malatya,relative,Unknown
696,35.0,10/6/2015,Merkez, Malatya,partner,Unknown
697,5.0,10/6/2015,Merkez, Malatya,father,Unknown
698,47.0,10/6/2015,Gönen, Balıkesir,known man,Woman Decision and Preferences
699,43.0,9/6/2015,İzmit, Kocaeli,son,Unknown
700,55.0,7/6/2015,Dörtdivan, Bolu,partner,Separation & Jealousy
701,18.0,2/6/2015,Kepez, Antalya,partner,Masculinity&Honor
702,65.0,2/6/2015,Hassa, Hatay,partner,Other
703,26.0,1/6/2015,Ortaca, Muğla,partner,Household service expectations
704,23.0,1/6/2015,Bodrum, Muğla,ex-partner,Unknown
705,33.0,1/6/2015,Saruhanlı, Manisa,relative,Unknown
706,63.0,27/05/2015,Merkez, Elazığ,partner,Other
707,19.0,27/05/2015,İzmit, Kocaeli,partner,Separation & Jealousy
708,39.0,27/05/2015,Milas, Muğla,ex-partner,Separation & Jealousy
709,33.0,25/05/2015,Merkez, Denizli,partner,Woman Decision and Preferences
710,54.0,23/05/2015,Merkez, Iğdır,known man,Other
711,32.0,23/05/2015,Mamak, Ankara,partner,Unknown
712,39.0,23/05/2015,Merkez, Çorum,boyfriend,Unknown
713,11.0,23/05/2015,Mamak, Ankara,father,Unknown
714,19.0,22/05/2015,Hacıbektaş, Nevşehir,brother,Masculinity&Honor
715,,22/05/2015,Alaca, Çorum,relative,Other
716,28.0,22/05/2015,Ergani, Diyarbakır,partner,Other
717,43.0,21/05/2015,Osmangazi, Bursa,known man,Unknown
718,,18/05/2015,Gölbaşı, Ankara,ex-partner,Unknown
719,40.0,18/05/2015,Merkez, Kırklareli,ex-partner,Separation & Jealousy
720,53.0,16/05/2015,Altındağ, Ankara,partner,Unknown
721,26.0,16/05/2015,Altındağ, Ankara,partner,Unknown
722,44.0,16/05/2015,Araç, Kastamonu,boyfriend,Unknown
723,59.0,15/05/2015,Alanya, Antalya,boyfriend,Unknown
724,41.0,14/05/2015,Esenyurt, Istanbul,partner,Separation & Jealousy
725,55.0,12/5/2015,Ümraniye, Istanbul,known man,Other
726,30.0,11/5/2015,Şirvan, Siirt,partner,Unknown
727,39.0,9/5/2015,Beyoğlu, Istanbul,attacker,Sexual expectation
728,,9/5/2015,Görele, Giresun,partner,Separation & Jealousy
729,47.0,9/5/2015,Görele, Giresun,partner,Separation & Jealousy
730,75.0,9/5/2015,Ayvalık, Balıkesir,partner,Unknown
731,31.0,7/5/2015,Merkez, Yalova,ex-partner,Separation & Jealousy
732,32.0,6/5/2015,Selçuklu, Konya,relative,Other
733,27.0,3/5/2015,Keşan, Edirne,partner,Unknown
734,63.0,30/04/2015,Elbistan, Kahramanmaraş,attacker,Unknown
735,27.0,28/04/2015,Mamak, Ankara,partner,Separation & Jealousy
736,27.0,25/04/2015,Seyhan, Adana,known man,Male service expectations
737,24.0,23/04/2015,Osmangazi, Bursa,boyfriend,Other
738,36.0,22/04/2015,Sarıçam, Adana,relative,Other
739,39.0,21/04/2015,Merkez, Kahramanmaraş,known man,Unknown
740,21.0,20/04/2015,Soma, Manisa,boyfriend,Separation & Jealousy
741,27.0,18/04/2015,Samandağ, Hatay,partner,Separation & Jealousy
742,57.0,17/04/2015,Çukurova, Adana,partner,Masculinity&Honor
743,42.0,17/04/2015,Sultangazi, Istanbul,ex-partner,Separation & Jealousy
744,23.0,17/04/2015,Kızıltepe, Mardin,relative,Sexual expectation
745,21.0,16/04/2015,Bayrampaşa, Istanbul,boyfriend,Other
746,40.0,11/4/2015,Keçiören, Ankara,partner,Separation & Jealousy
747,34.0,9/4/2015,Gaziemir, İzmir,partner,Separation & Jealousy
748,38.0,7/4/2015,Merkez, Uşak,boyfriend,Separation & Jealousy
749,29.0,7/4/2015,Bahçe, Osmaniye,partner,Unknown
750,43.0,6/4/2015,Yahşihan, Kırıkkale,known man,Other
751,32.0,6/4/2015,Şahinbey, Gaziantep,partner,Other
752,34.0,3/4/2015,Atakum, Samsun,boyfriend,Other
753,28.0,2/4/2015,Banaz, Uşak,boyfriend,Separation & Jealousy
754,28.0,1/4/2015,Erdemli, Mersin,partner,Children
755,34.0,31/03/2015,Akçadağ, Malatya,partner,Separation & Jealousy
756,77.0,30/03/2015,Kandıra, Kocaeli,partner,Unknown
757,44.0,27/03/2015,Selçuk, İzmir,partner,Separation & Jealousy
758,32.0,26/03/2015,Etimesgut, Ankara,boyfriend,Unknown
759,20.0,26/03/2015,Kartal, Istanbul,boyfriend,Unknown
760,30.0,23/03/2015,Ilgın, Konya,partner,Separation & Jealousy
761,43.0,23/03/2015,Çınarcık, Yalova,boyfriend,Other
762,21.0,21/03/2015,Güngören, Istanbul,ex-partner,Separation & Jealousy
763,29.0,20/03/2015,Merkez, Sivas,partner,Masculinity&Honor
764,28.0,19/03/2015,İslahiye, Gaziantep,relative,Sexual expectation
765,32.0,18/03/2015,Palandöken, Erzurum,boyfriend,Masculinity&Honor
766,35.0,18/03/2015,Alanya, Antalya,known man,Separation & Jealousy
767,62.0,17/03/2015,Kayapınar, Diyarbakır,partner,Separation & Jealousy
768,58.0,17/03/2015,Konak, İzmir,partner,Other
769,0.0,17/03/2015,Beylikdüzü, Istanbul,father,Other
770,47.0,17/03/2015,Tarsus, Adana,partner,Other
771,23.0,17/03/2015,Tarsus, Adana,brother,Woman Decision and Preferences
772,27.0,13/03/2015,Karabağlar, İzmir,relative,Masculinity&Honor
773,32.0,7/3/2015,Şehitkâmil, Gaziantep,partner,Unknown
774,35.0,7/3/2015,Siverek, Şanlıurfa,partner,Masculinity&Honor
775,32.0,7/3/2015,Esenler, Istanbul,partner,Masculinity&Honor
776,38.0,5/3/2015,Tire, İzmir,partner,Unknown
777,20.0,4/3/2015,Konyaaltı, Antalya,boyfriend,Other
778,30.0,4/3/2015,Seyhan, Adana,relative,Household service expectations
779,59.0,4/3/2015,Yakutiye, Erzurum,partner,Separation & Jealousy
780,56.0,25/02/2015,Elbistan, Kahramanmaraş,attacker,Sexual expectation
781,18.0,24/02/2015,Soma, Manisa,partner,Other
782,32.0,24/02/2015,Merkez, Kırıkkale,relative,Other
783,36.0,23/02/2015,Merkez, Denizli,boyfriend,Other
784,28.0,22/02/2015,Elbistan, Kahramanmaraş,partner,Unknown
785,5.0,22/02/2015,Elbistan, Kahramanmaraş,father,Unknown
786,38.0,21/02/2015,Mamak, Ankara,boyfriend,Unknown
787,23.0,20/02/2015,Muratpaşa, Antalya,boyfriend,Separation & Jealousy
788,42.0,19/02/2015,Üsküdar, Istanbul,partner,Other
789,45.0,17/02/2015,Karşıyaka, İzmir,boyfriend,Other
790,27.0,14/02/2015,Çermik, Diyarbakır,partner,Other
791,20.0,11/2/2015,Tarsus, Mersin,attacker,Sexual expectation
792,59.0,10/2/2015,Buca, İzmir,partner,Unknown
793,32.0,10/2/2015,Buca, İzmir,father,Unknown
794,35.0,10/2/2015,Buca, İzmir,father,Unknown
795,45.0,9/2/2015,Fethiye, Muğla,relative,Other
796,81.0,8/2/2015,Merkez, Karaman,attacker,Sexual expectation
797,23.0,7/2/2015,Selim, Kars,partner,Unknown
798,1.0,7/2/2015,Selim, Kars,father,Unknown
799,30.0,7/2/2015,Beykoz, Istanbul,boyfriend,Other
800,52.0,5/2/2015,Seyhan, Adana,partner,Other
801,22.0,4/2/2015,Merkez, Kütahya,boyfriend,Separation & Jealousy
802,37.0,30/01/2015,Buca, İzmir,attacker,Unknown
803,,30/01/2015,Bahçelievler, Istanbul,known man,Other
804,19.0,30/01/2015,Yüreğir, Adana,partner,Other
