,age,date,prov_name,perpetrator_en_new,excuses_cat
125,47,7/20/2017, adana,ex-partner,Other
126,33,7/13/2017, kayseri,partner,Unknown
127,35,7/11/2017, manisa,ex-partner,Masculinity&Honor
128,34,7/11/2017, kutahya,boyfriend,Separation & Jealousy
129,63,7/9/2017, adana,known man,Other
130,34,7/9/2017, adana,relative,Other
131,24,7/9/2017, corum,known man,Unknown
132,65,7/6/2017, mersin,relative,Unknown
133,20,7/6/2017, sakarya,attacker,Sexual expectation
134,33,7/5/2017, manisa,partner,Other
135,20,7/2/2017, gaziantep,partner,Separation & Jealousy
136,33,7/1/2017, hatay,partner,Woman Decision and Preferences
137,88,6/30/2017, elazig,son,Unknown
138,46,6/29/2017, bursa,partner,Separation & Jealousy
139,24,6/26/2017, ankara,ex-partner,Unknown
140,17,6/20/2017, kocaeli,father,Woman Decision and Preferences
141,26,6/18/2017, adana,partner,Separation & Jealousy
142,29,6/17/2017, bilecik,partner,Separation & Jealousy
143,51,6/15/2017, i̇zmir,partner,Masculinity&Honor
144,26,6/13/2017, bursa,known man,Other
145,36,6/13/2017, konya,boyfriend,Unknown
146,16,6/4/2017, afyonkarahisar,relative,Other
147,30,6/3/2017, antalya,partner,Separation & Jealousy
148,31,6/3/2017, antalya,relative,Other
149,50,6/3/2017, denizli,relative,Other
150,55,6/3/2017, denizli,partner,Separation & Jealousy
151,6,6/2/2017, yalova,attacker,Sexual expectation
152,45,6/2/2017, i̇zmir,boyfriend,Masculinity&Honor
153,35,6/2/2017, istanbul,partner,Masculinity&Honor
154,5,5/30/2017, i̇zmir,father,Unknown
155,34,5/30/2017, i̇zmir,partner,Unknown
156,1,5/28/2017, gaziantep,father,Other
157,21,5/28/2017, hatay,partner,Separation & Jealousy
158,6,5/28/2017, gaziantep,father,Other
159,28,5/28/2017, gaziantep,partner,Other
160,18,5/27/2017, istanbul,brother,Masculinity&Honor
161,2,5/26/2017, edirne,relative,Other
162,,5/26/2017, edirne,relative,Fight
163,54,5/24/2017, hatay,son,Unknown
164,30,5/24/2017, diyarbakir,partner,Separation & Jealousy
165,37,5/23/2017, bursa,partner,Other
166,23,5/21/2017, bursa,partner,Other
167,55,5/21/2017, aydin,known man,Woman Decision and Preferences
168,44,5/18/2017, antalya,boyfriend,Unknown
169,41,5/17/2017, konya,ex-partner,Children
170,59,5/17/2017, konya,relative,Other
171,32,5/16/2017, i̇zmir,ex-partner,Other
172,35,5/16/2017, ankara,partner,Separation & Jealousy
173,18,5/12/2017, mugla,known man,Separation & Jealousy
174,24,5/10/2017, kayseri,boyfriend,Other
175,28,5/10/2017, i̇zmir,relative,Masculinity&Honor
176,79,5/8/2017, kilis,relative,Unknown
177,46,5/8/2017, samsun,partner,Separation & Jealousy
178,40,5/6/2017, i̇zmir,ex-partner,Other
179,,5/6/2017, istanbul,boyfriend,Other
180,19,5/5/2017, istanbul,partner,Separation & Jealousy
181,16,5/5/2017, bursa,boyfriend,Unknown
182,41,5/3/2017, adana,relative,Separation & Jealousy
183,31,5/3/2017, istanbul,boyfriend,Unknown
184,66,5/3/2017, adana,relative,Separation & Jealousy
185,68,5/3/2017, adana,relative,Separation & Jealousy
186,18,4/30/2017, siirt,boyfriend,Masculinity&Honor
187,35,4/30/2017, adana,relative,Other
188,32,4/30/2017, adana,relative,Other
189,30,4/30/2017, yozgat,brother,Other
190,55,4/28/2017, bursa,son,Separation & Jealousy
191,39,4/27/2017, istanbul,ex-partner,Unknown
192,60,4/25/2017, sanliurfa,partner,Other
193,63,4/23/2017, bursa,partner,Unknown
194,40,4/23/2017, adana,partner,Unknown
195,45,4/19/2017, antalya,boyfriend,Masculinity&Honor
196,51,4/19/2017, van,partner,Other
197,27,4/16/2017, istanbul,partner,Separation & Jealousy
198,20,4/14/2017, aydin,father,Separation & Jealousy
199,35,4/13/2017, ankara,brother,Masculinity&Honor
200,22,4/13/2017, balikesir,partner,Unknown
201,21,4/11/2017, adana,relative,Masculinity&Honor
202,31,4/11/2017, adana,relative,Masculinity&Honor
203,55,4/10/2017, istanbul,ex-partner,Separation & Jealousy
204,35,4/8/2017, afyonkarahisar,relative,Other
205,26,4/3/2017, tekirdag,boyfriend,Separation & Jealousy
206,,3/31/2017, agri,son,Unknown
207,,3/31/2017, kastamonu,boyfriend,Unknown
208,37,3/31/2017, bursa,partner,Separation & Jealousy
209,26,3/28/2017, manisa,boyfriend,Separation & Jealousy
210,5,3/28/2017, hatay,father,Other
211,28,3/28/2017, hatay,ex-partner,Separation & Jealousy
212,29,3/27/2017, afyonkarahisar,ex-partner,Separation & Jealousy
213,,3/22/2017, ankara,ex-partner,Unknown
214,64,3/21/2017, kayseri,known man,Other
215,28,3/21/2017, i̇zmir,boyfriend,Separation & Jealousy
216,60,3/21/2017, gaziantep,partner,Unknown
217,43,3/20/2017, istanbul,known man,Other
218,32,3/19/2017, bursa,brother,Other
219,34,3/19/2017, kahramanmaras,partner,Other
220,38,3/18/2017, gaziantep,brother,Masculinity&Honor
221,39,3/17/2017, tokat,partner,Separation & Jealousy
222,45,3/16/2017, istanbul,partner,Unknown
223,38,3/16/2017, balikesir,partner,Household service expectations
224,,3/15/2017, istanbul,ex-partner,Unknown
225,48,3/14/2017, denizli,boyfriend,Masculinity&Honor
226,23,3/11/2017, gaziantep,partner,Masculinity&Honor
227,68,3/11/2017, mugla,partner,Unknown
228,3,3/11/2017, gaziantep,relative,Other
229,20,3/10/2017, bursa,partner,Separation & Jealousy
230,59,3/9/2017, bursa,son,Unknown
231,25,3/9/2017, mugla,ex-partner,Masculinity&Honor
232,,3/7/2017, i̇zmir,boyfriend,Masculinity&Honor
233,42,3/7/2017, antalya,ex-partner,Woman Decision and Preferences
234,79,3/6/2017, i̇zmir,relative,Unknown
235,62,3/2/2017, kastamonu,partner,Unknown
236,24,3/1/2017, istanbul,brother,Unknown
237,50,2/28/2017, balikesir,attacker,Unknown
238,29,2/27/2017, diyarbakir,relative,Other
239,25,2/25/2017, agri,partner,Unknown
240,64,2/22/2017, eskisehir,attacker,Other
241,27,2/21/2017, manisa,partner,Separation & Jealousy
242,10,2/21/2017, manisa,father,Other
243,29,2/19/2017, antalya,partner,Separation & Jealousy
244,25,2/18/2017, kayseri,partner,Separation & Jealousy
245,26,2/16/2017, aksaray,boyfriend,Separation & Jealousy
246,83,2/15/2017, bolu,attacker,Sexual expectation
247,37,2/14/2017, antalya,partner,Unknown
248,13,2/14/2017, antalya,father,Unknown
249,37,2/11/2017, i̇zmir,boyfriend,Unknown
250,17,2/10/2017, istanbul,ex-partner,Separation & Jealousy
251,25,2/9/2017, istanbul,partner,Unknown
252,53,2/8/2017, i̇zmir,partner,Other
253,24,2/8/2017, mersin,ex-partner,Separation & Jealousy
254,62,2/5/2017, yozgat,partner,Unknown
255,35,2/3/2017, bursa,partner,Separation & Jealousy
256,26,2/1/2017, istanbul,partner,Separation & Jealousy
