,prov_code,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,pol_attitude
62,8,2016,1.0,1.0,168068.0,48.17907,0.0,2.0794415,4.5898128,0.92,4.141181,0,-0.1532042,1.0,-92.6
64,9,2010,7.0,6.0,989862.0,68.024796,31.9752,1.0986123,4.1862707,1.87,1.1223787,0,-0.048866346,7.0,52.0
65,9,2011,3.0,2.0,999163.0,68.024796,31.9752,1.0986123,4.2780695,1.952,1.1089282,0,-0.05339119,3.0,52.0
66,9,2012,4.0,4.0,1006541.0,68.024796,31.9752,1.0986123,4.308888,2.028,1.1067606,0,-0.051643148,4.0,52.0
67,9,2013,5.0,5.0,1020957.0,68.024796,31.9752,1.0986123,4.3366685,2.086,1.0979894,1,-0.051712364,5.0,87.6
68,9,2014,5.0,5.0,1041979.0,68.024796,31.9752,1.0986123,4.359194,2.118,1.0787165,1,-0.05266419,5.0,87.6
69,9,2015,6.0,5.0,1053506.0,68.024796,31.9752,1.0986123,4.4017878,2.104,1.0669137,0,-0.053051263,6.0,87.6
70,9,2016,5.0,5.0,1068260.0,68.024796,31.9752,1.0986123,4.4294853,2.146,1.0662198,0,-0.052628607,5.0,87.6
71,9,2017,4.0,4.0,1080839.0,68.024796,31.9752,1.0986123,4.5008326,2.142,1.0547361,0,-0.054177284,4.0,107.88
72,10,2010,1.0,0.0,1152323.0,98.26581,0.5780639,0.0,4.3937593,1.668,1.4214765,0,-0.08686149,1.0,-41.1
73,10,2011,7.0,7.0,1154314.0,98.26581,0.5780639,0.0,4.4788666,1.704,1.4233562,0,-0.09200135,7.0,-41.1
74,10,2012,3.0,3.0,1160731.0,98.26581,0.5780639,0.0,4.4797916,1.776,1.4249641,0,-0.08902086,3.0,-41.1
75,10,2013,2.0,2.0,1162761.0,98.26581,0.5780639,0.0,4.48488,1.846,1.4310765,1,-0.09166533,2.0,-79.6
76,10,2014,2.0,2.0,1189057.0,98.26581,0.5780639,0.0,4.507387,1.924,1.4036334,1,-0.09345198,2.0,-79.6
77,10,2015,6.0,6.0,1186688.0,98.26581,0.5780639,0.0,4.5351443,1.964,1.4064354,0,-0.094206184,6.0,-79.6
78,10,2016,6.0,6.0,1196176.0,98.26581,0.5780639,0.0,4.582847,1.99,1.3961157,0,-0.09074339,6.0,-79.6
79,10,2017,8.0,7.0,1204824.0,98.26581,0.5780639,0.0,4.637985,1.978,1.3910745,0,-0.093445,8.0,-95.56
84,11,2014,1.0,1.0,209925.0,89.76678,10.233222,0.6931472,4.9004292,1.52,1.9816601,1,-0.12602544,1.0,-79.4
85,11,2015,1.0,1.0,212361.0,89.76678,10.233222,0.6931472,4.912979,1.57,1.9589285,0,-0.12517491,1.0,-79.4
87,11,2017,1.0,1.0,221693.0,89.76678,10.233222,0.6931472,4.930749,1.576,1.908044,0,-0.12777656,1.0,101.28
93,12,2015,1.0,1.0,267184.0,4.7396154,95.26038,7.5694118,4.033595,0.488,2.1633031,0,-0.13699976,1.0,-116.8
96,13,2010,1.0,1.0,328767.0,11.959248,88.04076,6.8679743,3.56304,0.13,2.0713758,0,-0.124400266,1.0,-86.2
97,13,2011,1.0,1.0,336624.0,11.959248,88.04076,6.8679743,3.692835,0.15,2.0586767,0,-0.14548372,1.0,-86.2
102,13,2016,1.0,1.0,341225.0,11.959248,88.04076,6.8679743,3.9235806,0.218,2.0836692,0,-0.14596446,1.0,0.0
104,14,2010,1.0,1.0,271208.0,96.83053,3.1694732,0.0,4.6458063,1.13,4.4762692,0,-0.11331919,1.0,-86.8
105,14,2011,1.0,1.0,276506.0,96.83053,3.1694732,0.0,4.7497406,1.196,4.394118,0,-0.1156988,1.0,-86.8
106,14,2012,1.0,1.0,281080.0,96.83053,3.1694732,0.0,4.7559986,1.226,4.383094,0,-0.11128782,1.0,-86.8
108,14,2014,1.0,1.0,284789.0,96.83053,3.1694732,0.0,4.8396287,1.426,4.3435664,1,-0.11750242,1.0,-99.2
109,14,2015,3.0,3.0,291095.0,96.83053,3.1694732,0.0,4.852601,1.452,4.2494717,0,-0.11432704,3.0,-99.2
