,prov_code,prov_name,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,pol_attitude
48,7,antalya,2010,6,5,1978333,93.47289,5.405746,2.8903718,4.7319584,2.162,1.0412807,0,-0.05549422,5,81.6
49,7,antalya,2011,9,9,2043482,93.47289,5.405746,2.8903718,4.8088593,2.316,1.0261896,0,-0.059131503,9,81.6
50,7,antalya,2012,6,5,2092537,93.47289,5.405746,2.8903718,4.774946,2.464,1.0179031,0,-0.05914566,5,81.6
51,7,antalya,2013,10,10,2158265,93.47289,5.405746,2.8903718,4.790795,2.564,0.9929272,1,-0.05821404,10,-72.8
52,7,antalya,2014,8,8,2222562,93.47289,5.405746,2.8903718,4.7948537,2.674,0.97230136,1,-0.06170124,8,-72.8
53,7,antalya,2015,12,12,2288456,93.47289,5.405746,2.8903718,4.831799,2.726,0.9539183,0,-0.061507016,12,-72.8
54,7,antalya,2016,16,16,2328555,93.47289,5.405746,2.8903718,4.760686,2.734,0.9477981,0,-0.057923704,16,-72.8
55,7,antalya,2017,15,15,2364396,93.47289,5.405746,2.8903718,4.8125505,2.666,0.9486567,0,-0.05765137,15,101.24
56,8,artvin,2010,0,0,164759,48.17907,0,2.0794415,4.3886604,0.782,4.1393795,0,-0.1419249,0,87.4
57,8,artvin,2011,0,0,166394,48.17907,0,2.0794415,4.43504,0.824,4.0866857,0,-0.15380219,0,87.4
58,8,artvin,2012,0,0,167082,48.17907,0,2.0794415,4.473485,0.858,4.075843,0,-0.15248749,0,87.4
59,8,artvin,2013,0,0,169334,48.17907,0,2.0794415,4.492002,0.864,4.051165,1,-0.15086843,0,-92.6
60,8,artvin,2014,0,0,169674,48.17907,0,2.0794415,4.508514,0.918,4.066622,1,-0.1572333,0,-92.6
61,8,artvin,2015,0,0,168370,48.17907,0,2.0794415,4.56878,0.942,4.0981174,0,-0.15557691,0,-92.6
62,8,artvin,2016,1,1,168068,48.17907,0,2.0794415,4.5898128,0.92,4.141181,0,-0.1532042,1,-92.6
63,8,artvin,2017,0,0,166143,48.17907,0,2.0794415,4.658476,0.908,4.1951814,0,-0.14918613,0,101.92
64,9,aydin,2010,7,6,989862,68.024796,31.9752,1.0986123,4.1862707,1.87,1.1223787,0,-0.048866346,6,52
65,9,aydin,2011,3,2,999163,68.024796,31.9752,1.0986123,4.2780695,1.952,1.1089282,0,-0.05339119,2,52
66,9,aydin,2012,4,4,1006541,68.024796,31.9752,1.0986123,4.308888,2.028,1.1067606,0,-0.051643148,4,52
67,9,aydin,2013,5,5,1020957,68.024796,31.9752,1.0986123,4.3366685,2.086,1.0979894,1,-0.051712364,5,87.6
68,9,aydin,2014,5,5,1041979,68.024796,31.9752,1.0986123,4.359194,2.118,1.0787165,1,-0.05266419,5,87.6
69,9,aydin,2015,6,5,1053506,68.024796,31.9752,1.0986123,4.4017878,2.104,1.0669137,0,-0.053051263,5,87.6
70,9,aydin,2016,5,5,1068260,68.024796,31.9752,1.0986123,4.4294853,2.146,1.0662198,0,-0.052628607,5,87.6
71,9,aydin,2017,4,4,1080839,68.024796,31.9752,1.0986123,4.5008326,2.142,1.0547361,0,-0.054177284,4,107.88
72,10,balikesir,2010,1,0,1152323,98.26581,0.5780639,0,4.3937593,1.668,1.4214765,0,-0.08686149,0,-41.1
73,10,balikesir,2011,7,7,1154314,98.26581,0.5780639,0,4.4788666,1.704,1.4233562,0,-0.09200135,7,-41.1
74,10,balikesir,2012,3,3,1160731,98.26581,0.5780639,0,4.4797916,1.776,1.4249641,0,-0.08902086,3,-41.1
75,10,balikesir,2013,2,2,1162761,98.26581,0.5780639,0,4.48488,1.846,1.4310765,1,-0.09166533,2,-79.6
76,10,balikesir,2014,2,2,1189057,98.26581,0.5780639,0,4.507387,1.924,1.4036334,1,-0.09345198,2,-79.6
77,10,balikesir,2015,6,6,1186688,98.26581,0.5780639,0,4.5351443,1.964,1.4064354,0,-0.094206184,6,-79.6
78,10,balikesir,2016,6,6,1196176,98.26581,0.5780639,0,4.582847,1.99,1.3961157,0,-0.09074339,6,-79.6
79,10,balikesir,2017,8,7,1204824,98.26581,0.5780639,0,4.637985,1.978,1.3910745,0,-0.093445,7,-95.56
80,11,bilecik,2010,0,0,225381,89.76678,10.233222,0.6931472,4.601996,1.136,1.8147049,0,-0.14072019,0,-76.4
81,11,bilecik,2011,0,0,203849,89.76678,10.233222,0.6931472,4.8162203,1.254,2.0112927,0,-0.13687772,0,-76.4
82,11,bilecik,2012,0,0,204116,89.76678,10.233222,0.6931472,4.829627,1.342,1.9988633,0,-0.12834299,0,-76.4
83,11,bilecik,2013,0,0,208888,89.76678,10.233222,0.6931472,4.895732,1.424,1.9579871,1,-0.12758602,0,-79.4
84,11,bilecik,2014,1,1,209925,89.76678,10.233222,0.6931472,4.9004292,1.52,1.9816601,1,-0.12602544,1,-79.4
85,11,bilecik,2015,1,1,212361,89.76678,10.233222,0.6931472,4.912979,1.57,1.9589285,0,-0.12517491,1,-79.4
86,11,bilecik,2016,0,0,218297,89.76678,10.233222,0.6931472,4.906442,1.57,1.9148225,0,-0.11657402,0,-79.4
87,11,bilecik,2017,1,1,221693,89.76678,10.233222,0.6931472,4.930749,1.576,1.908044,0,-0.12777656,1,101.28
88,12,bingol,2010,0,0,255170,4.7396154,95.26038,7.5694118,3.695008,0.578,2.1162362,0,-0.12824184,0,-85.6
89,12,bingol,2011,0,0,262263,4.7396154,95.26038,7.5694118,3.7922325,0.586,2.1200094,0,-0.14088938,0,-85.6
90,12,bingol,2012,0,0,262507,4.7396154,95.26038,7.5694118,3.8739836,0.524,2.148514,0,-0.13798293,0,-85.6
91,12,bingol,2013,0,0,265514,4.7396154,95.26038,7.5694118,3.9264855,0.514,2.1241817,1,-0.13587645,0,-116.8
92,12,bingol,2014,0,0,266019,4.7396154,95.26038,7.5694118,3.967885,0.51,2.1727772,1,-0.13759011,0,-116.8
93,12,bingol,2015,1,1,267184,4.7396154,95.26038,7.5694118,4.033595,0.488,2.1633031,0,-0.13699976,1,-116.8
94,12,bingol,2016,0,0,269560,4.7396154,95.26038,7.5694118,4.0874996,0.458,2.21843,0,-0.13571772,0,-116.8
95,12,bingol,2017,0,0,273354,4.7396154,95.26038,7.5694118,4.1201005,0.476,2.209589,0,-0.12954003,0,-77.2
96,13,bitlis,2010,1,1,328767,11.959248,88.04076,6.8679743,3.56304,0.13,2.0713758,0,-0.124400266,1,-86.2
97,13,bitlis,2011,1,1,336624,11.959248,88.04076,6.8679743,3.692835,0.15,2.0586767,0,-0.14548372,1,-86.2
98,13,bitlis,2012,0,0,337253,11.959248,88.04076,6.8679743,3.7916708,0.16,1.9451272,0,-0.14170295,0,-86.2
99,13,bitlis,2013,0,0,337156,11.959248,88.04076,6.8679743,3.8991551,0.178,1.9961087,1,-0.14252478,0,0
100,13,bitlis,2014,0,0,338023,11.959248,88.04076,6.8679743,3.907593,0.2,2.047198,1,-0.1443205,0,0
101,13,bitlis,2015,0,0,340449,11.959248,88.04076,6.8679743,3.9226985,0.212,2.03261,0,-0.14461634,0,0
102,13,bitlis,2016,1,1,341225,11.959248,88.04076,6.8679743,3.9235806,0.218,2.0836692,0,-0.14596446,1,0
103,13,bitlis,2017,0,0,341474,11.959248,88.04076,6.8679743,3.9147038,0.244,2.0967922,0,-0.1404219,0,-87.62
104,14,bolu,2010,1,1,271208,96.83053,3.1694732,0,4.6458063,1.13,4.4762692,0,-0.11331919,1,-86.8
105,14,bolu,2011,1,1,276506,96.83053,3.1694732,0,4.7497406,1.196,4.394118,0,-0.1156988,1,-86.8
106,14,bolu,2012,1,1,281080,96.83053,3.1694732,0,4.7559986,1.226,4.383094,0,-0.11128782,1,-86.8
107,14,bolu,2013,0,0,283496,96.83053,3.1694732,0,4.8108892,1.328,4.352795,1,-0.114307076,0,-99.2
108,14,bolu,2014,1,1,284789,96.83053,3.1694732,0,4.8396287,1.426,4.3435664,1,-0.11750242,1,-99.2
